"text","created","screenName","favoriteCount","longitude","latitude"
"MSI obniżyło ceny GeForce RTX 3000, a u konkurencji coraz drożej https://t.co/mIhsFeNqXK","2021-12-12 10:53:35","pidybi",0,2.816565,41.971419
"Giełda Interstone w hali #MosiR w Łodzi. Na giełdzie można kupić oryginalny prezent i ozdoby świąteczne... https://t.co/1wjxvEPUUQ","2021-12-11 15:43:34","pidybi",0,2.81655,41.971452
"Raport o #Koronawirusie: 19 452 nowych przypadków zakażeń, 65 zgonów https://t.co/euaw6fcbDj","2021-12-12 09:42:11","pidybi",0,2.81657,41.971456
"Niezaszczepieni w Polsce umierają 60 razy częściej niż zaszczepieni https://t.co/TPFvzVIlmi","2021-12-11 16:31:59","pidybi",0,2.816527,41.971309
"@AtrocityVendorr @_Quattroporte Pastelowe kolory domów w Rosji? Polska jak nic.","2021-12-08 17:00:15","blesof",1,20.98339699,52.19484219
"Dz.U. 2021 poz. 2263
Oświadczenie rządowe z dnia 2 listopada 2021 r. w sprawie mocy obowiązującej w relacjach międz… https://t.co/Qv3XKrpio2","2021-12-08 15:04:39","Dziennik_Ustaw",1,21.02839,52.22548
"🥰 😢
Stasiu jest szczęśliwy, a zarazem bardzo zasmucony z tęsknoty za swoją ukochaną Ojczyzną Rzeczpospolita Polska.… https://t.co/LOs0qPZ0ii","2021-12-08 09:08:53","MikrutStanislaw",1,10.3231739,47.7015429
"Problemy z KPO. #Polska nie zdąży wydać wszystkich pieniędzy? https://t.co/Kdot7PnFsH","2021-12-07 20:33:48","pidybi",0,2.15585,41.39395
"Nowe obostrzenia. Wraca zdalna nauka, będą obowiązkowe #szczepienia https://t.co/6nxwGYeVHS","2021-12-07 12:29:17","pidybi",0,2.15584,41.39399
"Nowe zasady w Polsce: zaszczepieni na #COVID będą płacić mniej https://t.co/PJ4F04Lhd4","2021-12-07 11:48:31","pidybi",0,2.15507,41.3942
"Krakowian people (and animals) #krakow #cracovia #poland #polska #streetphotography #people #loveanimals… https://t.co/5Bpq53PTcD","2021-12-06 09:07:30","JordiTorrents",0,20.05676139,50.03491135
"Nowoczesność vs zabytki
#katowice2021 #misto #nowoczesnosc #zabytek #przyszlosc #przeszlosc #slask #polska #2021… https://t.co/JBUST74AEY","2021-12-04 15:13:20","JKMrozek",1,19.01804449,50.25932299
"Wstrząs w kopalni Bielszowice. Nie ma kontaktu z dwoma górnikami https://t.co/3cm02V9lHY","2021-12-04 10:01:41","pidybi",0,2.816539,41.97131
"Dzień egzaminacyjny w Cambridge to zawsze dla naszych lektorów angielskiego    dni pełne nerwowego oczekiwania. @ S… https://t.co/OSKbyLCVAx","2021-12-04 07:03:47","goronska",0,16.9116766,52.40730932
"#tymczasem W Australii wojsko łapie ludzi i przymusowo #szczepi używając siły ENG https://t.co/BYRgQ25BYm #wykop","2021-11-25 21:51:12","pidybi",0,2.15556,41.39352
"Niemcy: #policja zablokowała nielegalną... https://t.co/s78O1Fk8J9 #dorzeczy","2021-11-29 16:31:03","pidybi",0,2.15589,41.39486
"Złota Piłka dla Messiego. Robert Lewandowski najlepszym #strzelcem roku https://t.co/Rqb1rXGWNb","2021-11-29 21:08:52","pidybi",0,2.15599,41.39384
"Lewandowski or Lewangoalski? 

#footballsocial #ballondor #bayernmunich #bayern #lewandowski @ Paris, France https://t.co/MpD2sMONcP","2021-11-29 20:04:34","footballsocial_",1,2.3508,48.8567
"Robert Lewandowski bedzie mial jedna prę skarpetek oraz jedną prę majtek. Dodatkowo będzie miał buty oraz dziesięć… https://t.co/PoXGIlwxRk","2021-11-29 17:05:54","Andrzej_1973",0,20.96514199,52.24661255
"#tymczasem Blinken: Mamy dowody, że #Rosja planuje działania militarne przeciwko #Ukrainie https://t.co/vzbgvubETV #wykop","2021-12-01 19:36:52","pidybi",0,2.15545,41.39377
"#tymczasem #Rosja rywalem Polaków w... https://t.co/RiW5pNcVJX #wykop","2021-11-26 19:09:02","pidybi",0,2.15545,41.39311
